timestamp,vehicle_count,people_count,traffic_status,crowd_status,location_type,time_of_day,day_type,advisory
2026-03-28 14:33:58,14,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:58,14,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:58,14,3,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:58,15,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:58,16,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:58,17,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,18,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,18,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,16,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,17,8,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,18,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,18,6,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,18,6,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:33:59,22,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,18,6,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,21,2,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,22,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,21,6,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,21,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,17,3,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:00,20,3,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:01,20,5,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:01,20,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:01,18,2,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:01,17,3,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
2026-03-28 14:34:01,16,4,Medium Traffic,Sparse Crowd,road,afternoon,weekend,Moderate traffic flow. Monitor signal timing.
